2024-07-31,13:33:38.721.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2004\06BenningtonGrad  20 files
2024-07-31,13:33:38.721.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2004 max_year=2004
2024-07-31,13:33:38.721.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2004\08Canada  106 files
2024-07-31,13:33:38.721.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2004 max_year=2004
2024-07-31,13:33:38.723.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2004\09ElkLakeDix  68 files
2024-07-31,13:33:38.724.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2004 max_year=2004
2024-07-31,13:33:38.724.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2004\EBay  49 files
2024-07-31,13:33:38.724.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2004 max_year=2004
2024-07-31,13:33:38.726.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2005  4 dirs  384 files
2024-07-31,13:33:38.726.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2005 max_year=2005
2024-07-31,13:33:38.727.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2005\02Germany  9 files
2024-07-31,13:33:38.727.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2005 max_year=2005
2024-07-31,13:33:38.728.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2005\04Baotou  33 files
2024-07-31,13:33:38.728.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2005 max_year=2005
2024-07-31,13:33:38.729.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2005\06Beijing  151 files
2024-07-31,13:33:38.729.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2005 max_year=2005
2024-07-31,13:33:38.730.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2005\09Wyoming  276 files
2024-07-31,13:33:38.731.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2005 max_year=2005
2024-07-31,13:33:38.734.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2006  3 dirs  1013 files
2024-07-31,13:33:38.734.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2006 max_year=2006
2024-07-31,13:33:38.739.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2006\09BlueMtLake  117 files
2024-07-31,13:33:38.739.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2006 max_year=2006
